epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.954,0.51234,2.69282,1.26319,0.0034,1,0.57878,0.38123,1.10758,3.77768,1.36883,0.00030006,0.00030006,0.00030006
2,591.684,0.17713,1.31784,1.01889,0.00378,1,0.85205,0.8487,0.319,3.19108,0.43635,0.000555728,0.000555728,0.000555728
3,892.167,0.1551,1.03165,0.96913,1,0.43703,0.93814,0.91139,0.40279,2.70075,0.5928,0.000748683,0.000748683,0.000748683
4,1184.44,0.14679,1.00287,0.96623,0.9927,0.99784,0.995,0.97893,0.27686,1.69739,0.4023,0.000878926,0.000878926,0.000878926
5,1483.15,0.1409,0.87027,0.94935,0.80508,0.97334,0.995,0.995,0.16098,1.17307,0.22501,0.000946456,0.000946456,0.000946456
6,1782,0.12544,0.76913,0.95964,0.94627,0.96,0.98304,0.98304,0.15891,0.98004,0.23113,0.000841835,0.000841835,0.000841835
7,2083.63,0.10578,0.70131,0.95693,0.99223,1,0.995,0.995,0.1882,1.05017,0.25905,0.000676802,0.000676802,0.000676802
8,2391.92,0.09316,0.65676,0.94462,0.99747,1,0.995,0.995,0.18361,0.89956,0.25214,0.000511769,0.000511769,0.000511769
9,2704.27,0.08821,0.62201,0.95078,0.99843,1,0.995,0.995,0.18861,0.99789,0.26188,0.000346736,0.000346736,0.000346736
10,3022.42,0.07074,0.58476,0.93875,0.99536,1,0.995,0.995,0.16082,0.86103,0.2285,0.000181703,0.000181703,0.000181703
